idx,comment_id,video_id,text,actual_label,review_bucket,notes,predicted_label,predicted_confidence,is_match
1,UgzoTD5YBfsX4xvnclx4AaABAg,DXVHmGoCTco,Who is your favorite streamer?,neutral,question,question,neutral,0.625757,yes
2,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFF8pmkR,DXVHmGoCTco,phenomenal,positive,clear praise,clear praise,positive,0.744547,yes
3,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFa8T3Rf,DXVHmGoCTco,Hi,positive,greeting,greeting,positive,0.417417,yes
4,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFqFaGX_,DXVHmGoCTco,W,positive,gen z praise,gen z praise,positive,0.721381,yes
5,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJG64_yo7,DXVHmGoCTco,OMG \U0001f631,positive,excited reaction,excited reaction,positive,0.785699,yes
6,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJGOzBmZA,DXVHmGoCTco,"*HI, BRO*",positive,greeting,greeting,positive,0.564566,yes
7,UgyGx9uiDQfzWN2reYx4AaABAg,DXVHmGoCTco,I need help \U0001f622\U0001f622\U0001f622\U0001f622\U0001f622 i phone pro max,negative,request with sadness,request with sadness,negative,0.966857,yes
8,Ugxjn42pD9G3ei6MgN94AaABAg,DXVHmGoCTco,ishowspeed my boi,positive,supportive,supportive,positive,0.969940,yes
9,Ugyp6J_-oxkq6v87CnR4AaABAg,DXVHmGoCTco,J'aimerais participer \U0001f60a\U0001f60d,positive,supportive,supportive,positive,0.906436,yes
10,UgzlFSRenqzwMXHgUzJ4AaABAg,DXVHmGoCTco,MrBeast do not invite rakai to the next streamer fight video,negative,criticism,criticism,negative,0.951160,yes
11,UgybiYUrF9xbcBcQPj94AaABAg,DXVHmGoCTco,xqc,neutral,name only,name only,neutral,0.625971,yes
12,UgxsrXWVtOXQv0mSWx54AaABAg,DXVHmGoCTco,Justice for Rubius,negative,complaint,complaint,negative,0.966420,yes
13,Ugzz7zcFG0dSFZGDzzx4AaABAg,DXVHmGoCTco,"why do you blindfold people for the lambo challenge, and then tell them when somebody else took off the hand...",negative,question,question,negative,0.967798,yes
14,UgxGEP3QqFUJcaPVD5Z4AaABAg,DXVHmGoCTco,Fhigt whit Abraham :1  Win to 1000000.0000 money Abraham \U0001f389 :998361,positive,supportive,supportive,positive,0.448239,yes
15,Ugx0jSJiReia8I3QZRx4AaABAg,DXVHmGoCTco,Is Bluududrulez in the video \U0001f622,negative,question with sadness,question with sadness,negative,0.962934,yes
16,Ugxcp_Gpvs9PG7vy5r94AaABAg,DXVHmGoCTco,i wanted speed to compete,negative,disappointment,disappointment,neutral,0.530632,no
17,UgxzHxjUJ_x2Pwqzk3N4AaABAg,DXVHmGoCTco,Hey mr beast I want to come your video I am from India my state is the telangana,neutral,request,request,neutral,0.536682,yes
18,UgwHOAy16I0sgDWvkBl4AaABAg,DXVHmGoCTco,33:04 is it sells in \u041f\u044f\u0442\u0435\u0440\u043e\u0447\u043a\u0430?,neutral,unclear foreign language,unclear foreign language,neutral,0.986040,yes
19,Ugy9x1AysUqf10lSo1F4AaABAg,DXVHmGoCTco,45:10 genuinely slime out this kid immediately \U0001fae9\U0001f940,negative,aggressive tone,aggressive tone,negative,0.981808,yes
20,Ugwm4SqgaBj9DX1VIVt4AaABAg,DXVHmGoCTco,Tumhe abhi tak mujhe koe bhi gift nhi diya jimmy,negative,complaint,complaint,negative,0.573930,yes
21,Ugy8soEtdJwNmjG5THZ4AaABAg,DXVHmGoCTco,Hi\u2764\u2764,positive,greeting with heart,greeting with heart,positive,0.710860,yes
22,UgxjZAdL0pdY37pXc454AaABAg,DXVHmGoCTco,Hi,positive,greeting,greeting,positive,0.417417,yes
23,UgzNS0ENspkixbj8YPt4AaABAg,DXVHmGoCTco,\u0410 \u043a\u0443\u0434\u0430 \u043f\u0440\u043e\u043f\u0430\u043b \u0421\u041f\u0418\u0414 \u043f\u043e\u0441\u043b\u0435 \u0444\u0443\u0442\u0431\u043e\u043b\u0430,neutral,unclear foreign language,unclear foreign language,negative,0.868626,no
24,Ugx6p52AgZxYHRHp9QR4AaABAg,DXVHmGoCTco,Te amo Ibai,positive,love statement,love statement,positive,0.926291,yes
25,Ugx6p30CalQAsaD1nkx4AaABAg,DXVHmGoCTco,\u0423 \u0427\u0435\u043d\u0434\u043b\u0435\u0440\u0430 \u0435\u0441\u0442\u044c \u043c\u0438\u0448\u043a\u0430,positive,unclear foreign language,unclear foreign language,positive,0.669665,yes
26,UgzZQ_3KiBONTIauiWV4AaABAg,DXVHmGoCTco,This is the only way i left that I can approach to you I am from durand line pashtoon thor tareen tribe  Hey I will Work for You and This Work Will make you one of the famous person on the planet earth and this Work is different and equivalent to the 1000 most talented people on the planet earth One opportunity for you and for me in a lifetime invest in me I will make you the king I swear I will be loyal to you for my entire life,positive,supportive,supportive,positive,0.649966,yes
27,UgwdAWLcA4rN-kuoI-B4AaABAg,DXVHmGoCTco,LA COMUNIDAD HISPANOHABLANTE ES LA MEJOR,positive,community praise,community praise,positive,0.980255,yes
28,UgxrTaQmowZ7mdKqrH94AaABAg,DXVHmGoCTco,No way\U0001f62e\U0001f62e\U0001f62e\U0001f62e\U0001f62e impossible,positive,excited reaction,excited reaction,positive,0.606004,yes
29,UgxxQpKCrBsV7v40BWZ4AaABAg,DXVHmGoCTco,"Hi, Attention! Your channel followers are all over the world, from every country. So most people or even most countries are excluded from your awards and events. So it's hard but not impossible. I'm especially excluded.",negative,complaint,complaint,negative,0.756899,yes
30,UgwqIIjOZGhiJ5Joxed4AaABAg,DXVHmGoCTco,Justice for abraham \U0001f4aa,negative,complaint,complaint,negative,0.894749,yes
31,UgwfbmdyL7rCGj8D9qp4AaABAg,DXVHmGoCTco,Niceeeee,positive,clear praise,clear praise,positive,0.892561,yes
32,UgwkrF9EtIJGlEtdgHp4AaABAg,DXVHmGoCTco,I HOPE YOU CAN GIVE ME GAMING PC \U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f641\U0001f641\U0001f641\U0001f641\U0001f641,negative,request with sadness,request with sadness,negative,0.843624,yes
33,UgxIALfVtKsDm100k314AaABAg,DXVHmGoCTco,Where's is steak i see him earlier?,neutral,question,question,neutral,0.842553,yes
34,UgxQDV-lF3tRTNY4J2N4AaABAg,DXVHmGoCTco,Marlon got masayuki level of glaze bro missed and shot himself but still got called your him \U0001f923,negative,possible sarcasm,possible sarcasm,negative,0.825098,yes
35,UgwftxY2JZm87vgZgex4AaABAg,DXVHmGoCTco,Please,neutral,short request,short request,neutral,0.490501,yes
36,UgxwcqPK9neNPuD4mkV4AaABAg,DXVHmGoCTco,Today is my birthday but 0 like \U0001f622,negative,sadness,sadness,negative,0.801236,yes
37,UgwiaYPJ6qZ-mL146R54AaABAg,DXVHmGoCTco,MR beast  can you give me a gaming  PC please please please please please please please please please please please please please please please please please please please please please please\U0001f62d\U0001f62d please please please p\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64fplease please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97aplease please please please please please please please please please please please  Please please please please please please please please please please please please please please please please please please please please please pleased please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please pleaseplease,negative,request with sadness,request with sadness,positive,0.629855,no
38,UgxK5LPLUHhK92egwPl4AaABAg,DXVHmGoCTco,"ppl hating on Rakai, but he did the right thing",positive,supportive,supportive,positive,0.410149,yes
39,Ugw0tWQOtWyE-OtBorp4AaABAg,DXVHmGoCTco,Ratkai got humbled so bad \U0001f602,positive,mocking,mocking,positive,0.735865,yes
40,Ugwl7jQmvde7Xm6s2_p4AaABAg,DXVHmGoCTco,Cancel Raikai,negative,criticism,criticism,negative,0.591504,yes
41,Ugy4NfuXgzzfdfIhsgd4AaABAg,DXVHmGoCTco,Reminds me of my favorite Youtuber Tyler and Snowi 21:32,positive,supportive,supportive,positive,0.793748,yes
42,UgzmldmoV4nlxqjcUSd4AaABAg,DXVHmGoCTco,Never bring raikai in any video pls,negative,criticism,criticism,negative,0.839386,yes
43,UgwyM2NwTi-H1KBNMvB4AaABAg,DXVHmGoCTco,Tyler0,neutral,name only,name only,neutral,0.689115,yes
44,UgzYzp-9IsbJU0ly2ed4AaABAg,DXVHmGoCTco,Mrbeast you have a great youtuber and you're always video  so nice mrbeast I am your big fan\u2764\u2764,positive,clear praise,clear praise,positive,0.902321,yes
45,Ugy8l4FubHoJTi48jK14AaABAg,DXVHmGoCTco,I am indian boy mrbeast your challenge I am Accept please challenge for me. Please contact me please mrbeast,neutral,request,request,neutral,0.466385,yes
46,UgzvD5jHqH88b_mF_RV4AaABAg,DXVHmGoCTco,\uc7ac\ubc0c\ub2e4 \u314b\u314b,positive,supportive,supportive,positive,0.747717,yes
47,UgxwL95pAfoxNtnizqh4AaABAg,DXVHmGoCTco,I hate speed,negative,clear dislike,clear dislike,negative,0.962590,yes
48,UgzEIMu7C6TVmHhFEod4AaABAg,DXVHmGoCTco,Who noticed payal gaming \u2764,neutral,question with black heart,question with black heart,neutral,0.463158,yes
49,UgxVFKxfZb3TZ9eP_H14AaABAg,DXVHmGoCTco,"dont have feastables in angola, i want  to buy",neutral,availability issue,availability issue,neutral,0.579529,yes
50,Ugydvb15ojLT6MsplR94AaABAg,DXVHmGoCTco,Worlds biggest youtuber,positive,clear praise,clear praise,positive,0.918519,yes
51,Ugy0HeZ5H6-wfsXkg7N4AaABAg,DXVHmGoCTco,You will gave the gift really,neutral,question,question,positive,0.659693,no
