idx,comment_id,video_id,text,assistant_seed_label,review_needed,notes,predicted_label,predicted_confidence,is_match
1,UgzoTD5YBfsX4xvnclx4AaABAg,DXVHmGoCTco,Who is your favorite streamer?,neutral,no,question,neutral,0.625757,yes
2,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFF8pmkR,DXVHmGoCTco,phenomenal,positive,no,clear praise,positive,0.744547,yes
3,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFa8T3Rf,DXVHmGoCTco,Hi,neutral,no,greeting,positive,0.417417,no
4,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFqFaGX_,DXVHmGoCTco,W,positive,yes,slang praise,neutral,0.497758,no
5,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJG64_yo7,DXVHmGoCTco,OMG \U0001f631,positive,yes,excited reaction,neutral,0.518111,no
6,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJGOzBmZA,DXVHmGoCTco,"*HI, BRO*",neutral,no,greeting,positive,0.537492,no
7,UgyGx9uiDQfzWN2reYx4AaABAg,DXVHmGoCTco,I need help \U0001f622\U0001f622\U0001f622\U0001f622\U0001f622 i phone pro max,negative,yes,request plus distress,negative,0.739613,yes
8,Ugxjn42pD9G3ei6MgN94AaABAg,DXVHmGoCTco,ishowspeed my boi,positive,no,supportive,positive,0.946009,yes
9,Ugyp6J_-oxkq6v87CnR4AaABAg,DXVHmGoCTco,J'aimerais participer \U0001f60a\U0001f60d,positive,yes,friendly desire to participate,neutral,0.697960,no
10,UgzlFSRenqzwMXHgUzJ4AaABAg,DXVHmGoCTco,MrBeast do not invite rakai to the next streamer fight video,negative,no,clear criticism,negative,0.951160,yes
11,UgybiYUrF9xbcBcQPj94AaABAg,DXVHmGoCTco,xqc,neutral,yes,name only,neutral,0.625971,yes
12,UgxsrXWVtOXQv0mSWx54AaABAg,DXVHmGoCTco,Justice for Rubius,negative,yes,complaint about fairness,positive,0.520034,no
13,Ugzz7zcFG0dSFZGDzzx4AaABAg,DXVHmGoCTco,"why do you blindfold people for the lambo challenge, and then tell them when somebody else took off the hand...",neutral,no,question,negative,0.967798,no
14,UgxGEP3QqFUJcaPVD5Z4AaABAg,DXVHmGoCTco,Fhigt whit Abraham :1  Win to 1000000.0000 money Abraham \U0001f389 :998361,positive,yes,support for Abraham,neutral,0.578580,no
15,Ugx0jSJiReia8I3QZRx4AaABAg,DXVHmGoCTco,Is Bluududrulez in the video \U0001f622,negative,yes,question with disappointment,neutral,0.939274,no
16,Ugxcp_Gpvs9PG7vy5r94AaABAg,DXVHmGoCTco,i wanted speed to compete,negative,no,disappointment,neutral,0.530632,no
17,UgxzHxjUJ_x2Pwqzk3N4AaABAg,DXVHmGoCTco,Hey mr beast I want to come your video I am from India my state is the telangana,positive,yes,fan request,neutral,0.536682,no
18,UgwHOAy16I0sgDWvkBl4AaABAg,DXVHmGoCTco,33:04 is it sells in \u041f\u044f\u0442\u0435\u0440\u043e\u0447\u043a\u0430?,neutral,yes,question in mixed language,neutral,0.972856,yes
19,Ugy9x1AysUqf10lSo1F4AaABAg,DXVHmGoCTco,45:10 genuinely slime out this kid immediately \U0001fae9\U0001f940,negative,yes,aggressive wording,negative,0.980793,yes
20,Ugwm4SqgaBj9DX1VIVt4AaABAg,DXVHmGoCTco,Tumhe abhi tak mujhe koe bhi gift nhi diya jimmy,negative,yes,complaint in Hindi,negative,0.573930,yes
21,Ugy8soEtdJwNmjG5THZ4AaABAg,DXVHmGoCTco,Hi\u2764\u2764,positive,no,greeting with heart,neutral,0.771377,no
22,UgxjZAdL0pdY37pXc454AaABAg,DXVHmGoCTco,Hi,neutral,no,greeting,positive,0.417417,no
