"idx","comment_id","video_id","text","manual_label","reviewer_notes"
"1","UgzoTD5YBfsX4xvnclx4AaABAg","DXVHmGoCTco","Who is your favorite streamer?","neutral","question"
"2","UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFF8pmkR","DXVHmGoCTco","phenomenal","positive","clear praise"
"3","UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFa8T3Rf","DXVHmGoCTco","Hi","positive","greeting"
"4","UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFqFaGX_","DXVHmGoCTco","W","positive","gen z praise"
"5","UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJG64_yo7","DXVHmGoCTco","OMG \U0001f631","positive","excited reaction"
"6","UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJGOzBmZA","DXVHmGoCTco","*HI, BRO*","positive","greeting"
"7","UgyGx9uiDQfzWN2reYx4AaABAg","DXVHmGoCTco","I need help \U0001f622\U0001f622\U0001f622\U0001f622\U0001f622 i phone pro max","negative","request with sadness"
"8","Ugxjn42pD9G3ei6MgN94AaABAg","DXVHmGoCTco","ishowspeed my boi","positive","supportive"
"9","Ugyp6J_-oxkq6v87CnR4AaABAg","DXVHmGoCTco","J'aimerais participer \U0001f60a\U0001f60d","positive","supportive"
"10","UgzlFSRenqzwMXHgUzJ4AaABAg","DXVHmGoCTco","MrBeast do not invite rakai to the next streamer fight video","negative","criticism"
"11","UgybiYUrF9xbcBcQPj94AaABAg","DXVHmGoCTco","xqc","neutral","name only"
"12","UgxsrXWVtOXQv0mSWx54AaABAg","DXVHmGoCTco","Justice for Rubius","negative","complaint"
"13","Ugzz7zcFG0dSFZGDzzx4AaABAg","DXVHmGoCTco","why do you blindfold people for the lambo challenge, and then tell them when somebody else took off the hand...","negative","question"
"14","UgxGEP3QqFUJcaPVD5Z4AaABAg","DXVHmGoCTco","Fhigt whit Abraham :1  Win to 1000000.0000 money Abraham \U0001f389 :998361","positive","supportive"
"15","Ugx0jSJiReia8I3QZRx4AaABAg","DXVHmGoCTco","Is Bluududrulez in the video \U0001f622","negative","question with sadness"
"16","Ugxcp_Gpvs9PG7vy5r94AaABAg","DXVHmGoCTco","i wanted speed to compete","negative","disappointment"
"17","UgxzHxjUJ_x2Pwqzk3N4AaABAg","DXVHmGoCTco","Hey mr beast I want to come your video I am from India my state is the telangana","neutral","request"
"18","UgwHOAy16I0sgDWvkBl4AaABAg","DXVHmGoCTco","33:04 is it sells in \u041f\u044f\u0442\u0435\u0440\u043e\u0447\u043a\u0430?","neutral","unclear foreign language"
"19","Ugy9x1AysUqf10lSo1F4AaABAg","DXVHmGoCTco","45:10 genuinely slime out this kid immediately \U0001fae9\U0001f940","negative","aggressive tone"
"20","Ugwm4SqgaBj9DX1VIVt4AaABAg","DXVHmGoCTco","Tumhe abhi tak mujhe koe bhi gift nhi diya jimmy","negative","complaint"
"21","Ugy8soEtdJwNmjG5THZ4AaABAg","DXVHmGoCTco","Hi\u2764\u2764","positive","greeting with heart"
"22","UgxjZAdL0pdY37pXc454AaABAg","DXVHmGoCTco","Hi","positive","greeting"
"23","UgzNS0ENspkixbj8YPt4AaABAg","DXVHmGoCTco","\u0410 \u043a\u0443\u0434\u0430 \u043f\u0440\u043e\u043f\u0430\u043b \u0421\u041f\u0418\u0414 \u043f\u043e\u0441\u043b\u0435 \u0444\u0443\u0442\u0431\u043e\u043b\u0430","neutral","unclear foreign language"
"24","Ugx6p52AgZxYHRHp9QR4AaABAg","DXVHmGoCTco","Te amo Ibai","positive","love statement"
"25","Ugx6p30CalQAsaD1nkx4AaABAg","DXVHmGoCTco","\u0423 \u0427\u0435\u043d\u0434\u043b\u0435\u0440\u0430 \u0435\u0441\u0442\u044c \u043c\u0438\u0448\u043a\u0430","positive","unclear foreign language"
"26","UgzZQ_3KiBONTIauiWV4AaABAg","DXVHmGoCTco","This is the only way i left that I can approach to you I am from durand line pashtoon thor tareen tribe  Hey I will Work for You and This Work Will make you one of the famous person on the planet earth and this Work is different and equivalent to the 1000 most talented people on the planet earth One opportunity for you and for me in a lifetime invest in me I will make you the king I swear I will be loyal to you for my entire life","positive","supportive"
"27","UgwdAWLcA4rN-kuoI-B4AaABAg","DXVHmGoCTco","LA COMUNIDAD HISPANOHABLANTE ES LA MEJOR","positive","community praise"
"28","UgxrTaQmowZ7mdKqrH94AaABAg","DXVHmGoCTco","No way\U0001f62e\U0001f62e\U0001f62e\U0001f62e\U0001f62e impossible","positive","excited reaction"
"29","UgxxQpKCrBsV7v40BWZ4AaABAg","DXVHmGoCTco","Hi, Attention! Your channel followers are all over the world, from every country. So most people or even most countries are excluded from your awards and events. So it's hard but not impossible. I'm especially excluded.","negative","complaint"
"30","UgwqIIjOZGhiJ5Joxed4AaABAg","DXVHmGoCTco","Justice for abraham \U0001f4aa","negative","complaint"
"31","UgwfbmdyL7rCGj8D9qp4AaABAg","DXVHmGoCTco","Niceeeee","positive","clear praise"
"32","UgwkrF9EtIJGlEtdgHp4AaABAg","DXVHmGoCTco","I HOPE YOU CAN GIVE ME GAMING PC \U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f641\U0001f641\U0001f641\U0001f641\U0001f641","negative","request with sadness"
"33","UgxIALfVtKsDm100k314AaABAg","DXVHmGoCTco","Where's is steak i see him earlier?","neutral","question"
"34","UgxQDV-lF3tRTNY4J2N4AaABAg","DXVHmGoCTco","Marlon got masayuki level of glaze bro missed and shot himself but still got called your him \U0001f923","negative","possible sarcasm"
"35","UgwftxY2JZm87vgZgex4AaABAg","DXVHmGoCTco","Please","neutral","short request"
"36","UgxwcqPK9neNPuD4mkV4AaABAg","DXVHmGoCTco","Today is my birthday but 0 like \U0001f622","negative","sadness"
"37","UgwiaYPJ6qZ-mL146R54AaABAg","DXVHmGoCTco","MR beast  can you give me a gaming  PC please please please please please please please please please please please please please please please please please please please please please please\U0001f62d\U0001f62d please please please p\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64fplease please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97aplease please please please please please please please please please please please  Please please please please please please please please please please please please please please please please please please please please please pleased please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please pleaseplease","negative","request with sadness"
"38","UgxK5LPLUHhK92egwPl4AaABAg","DXVHmGoCTco","ppl hating on Rakai, but he did the right thing","positive","supportive"
"39","Ugw0tWQOtWyE-OtBorp4AaABAg","DXVHmGoCTco","Ratkai got humbled so bad \U0001f602","positive","mocking"
"40","Ugwl7jQmvde7Xm6s2_p4AaABAg","DXVHmGoCTco","Cancel Raikai","negative","criticism"
"41","Ugy4NfuXgzzfdfIhsgd4AaABAg","DXVHmGoCTco","Reminds me of my favorite Youtuber Tyler and Snowi 21:32","positive","supportive"
"42","UgzmldmoV4nlxqjcUSd4AaABAg","DXVHmGoCTco","Never bring raikai in any video pls","negative","criticism"
"43","UgwyM2NwTi-H1KBNMvB4AaABAg","DXVHmGoCTco","Tyler0","neutral","name only"
"44","UgzYzp-9IsbJU0ly2ed4AaABAg","DXVHmGoCTco","Mrbeast you have a great youtuber and you're always video  so nice mrbeast I am your big fan\u2764\u2764","positive","clear praise"
"45","Ugy8l4FubHoJTi48jK14AaABAg","DXVHmGoCTco","I am indian boy mrbeast your challenge I am Accept please challenge for me. Please contact me please mrbeast","neutral","request"
"46","UgzvD5jHqH88b_mF_RV4AaABAg","DXVHmGoCTco","\uc7ac\ubc0c\ub2e4 \u314b\u314b","positive","supportive"
