idx,comment_id,video_id,text,assistant_seed_label,review_needed,notes
1,UgzoTD5YBfsX4xvnclx4AaABAg,DXVHmGoCTco,"Who is your favorite streamer?",neutral,no,"question"
2,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFF8pmkR,DXVHmGoCTco,"phenomenal",positive,no,"clear praise"
3,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFa8T3Rf,DXVHmGoCTco,"Hi",neutral,no,"greeting"
4,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJFqFaGX_,DXVHmGoCTco,"W",positive,yes,"slang praise"
5,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJG64_yo7,DXVHmGoCTco,"OMG \U0001f631",positive,yes,"excited reaction"
6,UgzoTD5YBfsX4xvnclx4AaABAg.AVBIzz2fTkSAVBJGOzBmZA,DXVHmGoCTco,"*HI, BRO*",neutral,no,"greeting"
7,UgyGx9uiDQfzWN2reYx4AaABAg,DXVHmGoCTco,"I need help \U0001f622\U0001f622\U0001f622\U0001f622\U0001f622 i phone pro max",negative,yes,"request plus distress"
8,Ugxjn42pD9G3ei6MgN94AaABAg,DXVHmGoCTco,"ishowspeed my boi",positive,no,"supportive"
9,Ugyp6J_-oxkq6v87CnR4AaABAg,DXVHmGoCTco,"J'aimerais participer \U0001f60a\U0001f60d",positive,yes,"friendly desire to participate"
10,UgzlFSRenqzwMXHgUzJ4AaABAg,DXVHmGoCTco,"MrBeast do not invite rakai to the next streamer fight video",negative,no,"clear criticism"
11,UgybiYUrF9xbcBcQPj94AaABAg,DXVHmGoCTco,"xqc",neutral,yes,"name only"
12,UgxsrXWVtOXQv0mSWx54AaABAg,DXVHmGoCTco,"Justice for Rubius",negative,yes,"complaint about fairness"
13,Ugzz7zcFG0dSFZGDzzx4AaABAg,DXVHmGoCTco,"why do you blindfold people for the lambo challenge, and then tell them when somebody else took off the hand...",neutral,no,"question"
14,UgxGEP3QqFUJcaPVD5Z4AaABAg,DXVHmGoCTco,"Fhigt whit Abraham :1  Win to 1000000.0000 money Abraham \U0001f389 :998361",positive,yes,"support for Abraham"
15,Ugx0jSJiReia8I3QZRx4AaABAg,DXVHmGoCTco,"Is Bluududrulez in the video \U0001f622",negative,yes,"question with disappointment"
16,Ugxcp_Gpvs9PG7vy5r94AaABAg,DXVHmGoCTco,"i wanted speed to compete",negative,no,"disappointment"
17,UgxzHxjUJ_x2Pwqzk3N4AaABAg,DXVHmGoCTco,"Hey mr beast I want to come your video I am from India my state is the telangana",positive,yes,"fan request"
18,UgwHOAy16I0sgDWvkBl4AaABAg,DXVHmGoCTco,"33:04 is it sells in \u041f\u044f\u0442\u0435\u0440\u043e\u0447\u043a\u0430?",neutral,yes,"question in mixed language"
19,Ugy9x1AysUqf10lSo1F4AaABAg,DXVHmGoCTco,"45:10 genuinely slime out this kid immediately \U0001fae9\U0001f940",negative,yes,"aggressive wording"
20,Ugwm4SqgaBj9DX1VIVt4AaABAg,DXVHmGoCTco,"Tumhe abhi tak mujhe koe bhi gift nhi diya jimmy",negative,yes,"complaint in Hindi"
21,Ugy8soEtdJwNmjG5THZ4AaABAg,DXVHmGoCTco,"Hi\u2764\u2764",positive,no,"greeting with heart"
22,UgxjZAdL0pdY37pXc454AaABAg,DXVHmGoCTco,"Hi",neutral,no,"greeting"
23,UgzNS0ENspkixbj8YPt4AaABAg,DXVHmGoCTco,"\u0410 \u043a\u0443\u0434\u0430 \u043f\u0440\u043e\u043f\u0430\u043b \u0421\u041f\u0418\u0414 \u043f\u043e\u0441\u043b\u0435 \u0444\u0443\u0442\u0431\u043e\u043b\u0430",neutral,yes,"question in Russian"
24,Ugx6p52AgZxYHRHp9QR4AaABAg,DXVHmGoCTco,"Te amo Ibai",positive,no,"love statement"
25,Ugx6p30CalQAsaD1nkx4AaABAg,DXVHmGoCTco,"\u0423 \u0427\u0435\u043d\u0434\u043b\u0435\u0440\u0430 \u0435\u0441\u0442\u044c \u043c\u0438\u0448\u043a\u0430",neutral,yes,"statement in Russian"
26,UgzZQ_3KiBONTIauiWV4AaABAg,DXVHmGoCTco,"This is the only way i left that I can approach to you I am from durand line pashtoon thor tareen tribe  Hey I will Work for You and This Work Will make you one of the famous person on the planet earth and this Work is different and equivalent to the 1000 most talented people on the planet earth One opportunity for you and for me in a lifetime invest in me I will make you the king I swear I will be loyal to you for my entire life",positive,yes,"supportive but self promotional"
27,UgwdAWLcA4rN-kuoI-B4AaABAg,DXVHmGoCTco,"LA COMUNIDAD HISPANOHABLANTE ES LA MEJOR",positive,yes,"community praise in Spanish"
28,UgxrTaQmowZ7mdKqrH94AaABAg,DXVHmGoCTco,"No way\U0001f62e\U0001f62e\U0001f62e\U0001f62e\U0001f62e impossible",positive,yes,"surprised excitement"
29,UgxxQpKCrBsV7v40BWZ4AaABAg,DXVHmGoCTco,"Hi, Attention! Your channel followers are all over the world, from every country. So most people or even most countries are excluded from your awards and events. So it's hard but not impossible. I'm especially excluded.",negative,no,"complaint about exclusion"
30,UgwqIIjOZGhiJ5Joxed4AaABAg,DXVHmGoCTco,"Justice for abraham \U0001f4aa",negative,yes,"complaint about fairness"
31,UgwfbmdyL7rCGj8D9qp4AaABAg,DXVHmGoCTco,"Niceeeee",positive,no,"praise"
32,UgwkrF9EtIJGlEtdgHp4AaABAg,DXVHmGoCTco,"I HOPE YOU CAN GIVE ME GAMING PC \U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f61f\U0001f641\U0001f641\U0001f641\U0001f641\U0001f641",negative,yes,"pleading request"
33,UgxIALfVtKsDm100k314AaABAg,DXVHmGoCTco,"Where's is steak i see him earlier?",neutral,yes,"question"
34,UgxQDV-lF3tRTNY4J2N4AaABAg,DXVHmGoCTco,"Marlon got masayuki level of glaze bro missed and shot himself but still got called your him \U0001f923",negative,yes,"sarcastic mockery"
35,UgwftxY2JZm87vgZgex4AaABAg,DXVHmGoCTco,"Please",neutral,no,"short request"
36,UgxwcqPK9neNPuD4mkV4AaABAg,DXVHmGoCTco,"Today is my birthday but 0 like \U0001f622",negative,no,"sadness"
37,UgwiaYPJ6qZ-mL146R54AaABAg,DXVHmGoCTco,"MR beast  can you give me a gaming  PC please please please please please please please please please please please please please please please please please please please please please please\U0001f62d\U0001f62d please please please p\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64f\U0001f64fplease please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97a\U0001f97aplease please please please please please please please please please please please  Please please please please please please please please please please please please please please please please please please please please please pleased please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please pleaseplease",negative,yes,"very long begging comment"
38,UgxK5LPLUHhK92egwPl4AaABAg,DXVHmGoCTco,"ppl hating on Rakai, but he did the right thing",positive,yes,"defense of Rakai"
39,Ugw0tWQOtWyE-OtBorp4AaABAg,DXVHmGoCTco,"Ratkai got humbled so bad \U0001f602",negative,yes,"mocking negative sentiment"
40,Ugwl7jQmvde7Xm6s2_p4AaABAg,DXVHmGoCTco,"Cancel Raikai",negative,no,"clear criticism"
41,Ugy4NfuXgzzfdfIhsgd4AaABAg,DXVHmGoCTco,"Reminds me of my favorite Youtuber Tyler and Snowi 21:32",positive,no,"favorite reference"
42,UgzmldmoV4nlxqjcUSd4AaABAg,DXVHmGoCTco,"Never bring raikai in any video pls",negative,no,"clear criticism"
43,UgwyM2NwTi-H1KBNMvB4AaABAg,DXVHmGoCTco,"Tyler0",neutral,yes,"name only"
44,UgzYzp-9IsbJU0ly2ed4AaABAg,DXVHmGoCTco,"Mrbeast you have a great youtuber and you're always video  so nice mrbeast I am your big fan\u2764\u2764",positive,no,"clear praise"
45,Ugy8l4FubHoJTi48jK14AaABAg,DXVHmGoCTco,"I am indian boy mrbeast your challenge I am Accept please challenge for me. Please contact me please mrbeast",neutral,yes,"fan request"
46,UgzvD5jHqH88b_mF_RV4AaABAg,DXVHmGoCTco,"\uc7ac\ubc0c\ub2e4 \u314b\u314b",positive,yes,"Korean meaning fun"
47,UgxwL95pAfoxNtnizqh4AaABAg,DXVHmGoCTco,"I hate speed",negative,no,"clear dislike"
48,UgzEIMu7C6TVmHhFEod4AaABAg,DXVHmGoCTco,"Who noticed payal gaming \u2764",positive,yes,"question with heart"
49,UgxVFKxfZb3TZ9eP_H14AaABAg,DXVHmGoCTco,"dont have feastables in angola, i want  to buy",neutral,yes,"availability complaint plus interest"
50,Ugydvb15ojLT6MsplR94AaABAg,DXVHmGoCTco,"Worlds biggest youtuber",positive,no,"praise"
51,Ugy0HeZ5H6-wfsXkg7N4AaABAg,DXVHmGoCTco,"You will gave the gift really",neutral,yes,"question unclear grammar"
52,Ugz4Xjqzthy42B-b0d94AaABAg,DXVHmGoCTco,"\u0623\u0637\u0641\u0627\u0644\u064a \u064a\u062a\u0627\u0628\u0639\u0648\u0646\u0643 \u0628\u0634\u0643\u0644 \u062f\u0627\u0626\u0645 \U0001f44d\u0648\u0647\u0645 \u0645\u0639\u062c\u0628\u0648\u0646 \u0628\u0643 \u0643\u062b\u064a\u0631\u0627\u064b.",positive,yes,"Arabic praise"
53,UgyO5XuQaxHFDy0tJzR4AaABAg,DXVHmGoCTco,"ROBLOX 100.000 pls G\u0130VE? \U0001f97a",neutral,yes,"request"
54,UgyevfPVA_HChlrug4Z4AaABAg,DXVHmGoCTco,"Ishowspeed my favorite",positive,no,"favorite statement"
55,Ugz6kqWNl-bCpeDoIch4AaABAg,DXVHmGoCTco,"I am from India and I am single mother and I wanted to do a challenge like living in bunker for 100 days with my children",neutral,yes,"personal request"
56,UgzUMbxotOHSQHS8UKF4AaABAg,DXVHmGoCTco,"H\u0131 Guys \u2764",positive,yes,"greeting with heart"
